timesteps,reach_rate,grasp_rate,window_episodes
100,0.0,0.0,1
200,0.0,0.0,2
300,0.0,0.0,3
400,0.0,0.0,4
500,0.0,0.0,5
600,0.0,0.0,6
700,0.0,0.0,7
800,0.0,0.0,8
900,0.0,0.0,9
1000,0.0,0.0,10
1100,0.0,0.0,11
1200,0.0,0.0,12
1300,0.0,0.0,13
1400,0.0,0.0,14
1500,6.666666666666667,6.666666666666667,15
1600,6.25,6.25,16
1700,5.88235294117647,5.88235294117647,17
1800,15.789473684210526,15.789473684210526,19
1900,23.809523809523807,23.809523809523807,21
2000,36.0,36.0,25
2100,53.333333333333336,53.333333333333336,30
2200,73.33333333333333,73.33333333333333,30
2300,90.0,90.0,30
2400,93.33333333333333,93.33333333333333,30
2500,90.0,90.0,30
2600,90.0,90.0,30
2700,86.66666666666667,86.66666666666667,30
2800,90.0,90.0,30
2900,90.0,90.0,30
3000,90.0,90.0,30
3100,86.66666666666667,86.66666666666667,30
3200,86.66666666666667,86.66666666666667,30
3300,90.0,86.66666666666667,30
3400,90.0,86.66666666666667,30
3500,90.0,86.66666666666667,30
3600,86.66666666666667,83.33333333333334,30
3700,86.66666666666667,86.66666666666667,30
3800,83.33333333333334,80.0,30
3900,80.0,76.66666666666667,30
4000,83.33333333333334,80.0,30
4100,90.0,86.66666666666667,30
4200,86.66666666666667,83.33333333333334,30
4300,86.66666666666667,83.33333333333334,30
4400,90.0,90.0,30
4500,90.0,90.0,30
4600,86.66666666666667,86.66666666666667,30
4700,83.33333333333334,83.33333333333334,30
4800,80.0,80.0,30
4900,83.33333333333334,83.33333333333334,30
5000,93.33333333333333,93.33333333333333,30
5100,100.0,100.0,30
5200,100.0,100.0,30
5300,100.0,100.0,30
5400,100.0,100.0,30
5500,100.0,100.0,30
5600,100.0,100.0,30
5700,100.0,100.0,30
5800,96.66666666666667,96.66666666666667,30
5900,96.66666666666667,96.66666666666667,30
6000,93.33333333333333,93.33333333333333,30
6100,90.0,90.0,30
6200,86.66666666666667,86.66666666666667,30
6300,90.0,90.0,30
6400,86.66666666666667,86.66666666666667,30
6500,86.66666666666667,86.66666666666667,30
6600,86.66666666666667,86.66666666666667,30
6700,90.0,90.0,30
6800,93.33333333333333,93.33333333333333,30
6900,96.66666666666667,96.66666666666667,30
7000,96.66666666666667,96.66666666666667,30
7100,93.33333333333333,93.33333333333333,30
7200,90.0,90.0,30
7300,86.66666666666667,86.66666666666667,30
7400,83.33333333333334,83.33333333333334,30
7500,83.33333333333334,83.33333333333334,30
7600,83.33333333333334,83.33333333333334,30
7700,80.0,80.0,30
7800,76.66666666666667,76.66666666666667,30
7900,73.33333333333333,73.33333333333333,30
8000,73.33333333333333,73.33333333333333,30
8100,70.0,70.0,30
8200,76.66666666666667,76.66666666666667,30
8300,76.66666666666667,76.66666666666667,30
8400,90.0,90.0,30
8500,93.33333333333333,90.0,30
8600,96.66666666666667,93.33333333333333,30
8700,100.0,96.66666666666667,30
8800,100.0,93.33333333333333,30
8900,100.0,100.0,30
9000,100.0,100.0,30
9100,100.0,93.33333333333333,30
9200,100.0,100.0,30
9300,100.0,96.66666666666667,30
9400,100.0,100.0,30
9500,100.0,100.0,30
9600,100.0,100.0,30
9700,100.0,96.66666666666667,30
9800,100.0,86.66666666666667,30
9900,100.0,100.0,30
10000,100.0,100.0,30
10100,100.0,100.0,30
10200,100.0,100.0,30
10300,100.0,100.0,30
10400,100.0,100.0,30
10500,100.0,100.0,30
10600,100.0,100.0,30
10700,100.0,93.33333333333333,30
10800,100.0,100.0,30
10900,100.0,96.66666666666667,30
11000,100.0,96.66666666666667,30
11100,100.0,96.66666666666667,30
11200,100.0,96.66666666666667,30
11300,100.0,100.0,30
11400,100.0,100.0,30
11500,100.0,100.0,30
11600,100.0,96.66666666666667,30
11700,100.0,96.66666666666667,30
11800,100.0,96.66666666666667,30
11900,100.0,96.66666666666667,30
12000,100.0,100.0,30
12100,100.0,100.0,30
12200,100.0,100.0,30
12300,100.0,96.66666666666667,30
12400,100.0,100.0,30
12500,100.0,100.0,30
12600,100.0,100.0,30
12700,100.0,100.0,30
12800,100.0,100.0,30
12900,100.0,100.0,30
13000,96.66666666666667,96.66666666666667,30
13100,93.33333333333333,93.33333333333333,30
13200,90.0,90.0,30
13300,90.0,90.0,30
13400,96.66666666666667,96.66666666666667,30
13500,93.33333333333333,93.33333333333333,30
13600,93.33333333333333,93.33333333333333,30
13700,93.33333333333333,93.33333333333333,30
13800,90.0,90.0,30
13900,86.66666666666667,86.66666666666667,30
14000,86.66666666666667,86.66666666666667,30
14100,90.0,86.66666666666667,30
14200,86.66666666666667,83.33333333333334,30
14300,83.33333333333334,80.0,30
14400,83.33333333333334,80.0,30
14500,83.33333333333334,80.0,30
14600,86.66666666666667,86.66666666666667,30
14700,93.33333333333333,93.33333333333333,30
14800,93.33333333333333,93.33333333333333,30
14900,93.33333333333333,90.0,30
15000,90.0,86.66666666666667,30
15100,93.33333333333333,90.0,30
15200,93.33333333333333,90.0,30
15300,90.0,86.66666666666667,30
15400,90.0,90.0,30
15500,93.33333333333333,93.33333333333333,30
15600,90.0,90.0,30
15700,90.0,90.0,30
15800,93.33333333333333,93.33333333333333,30
15900,93.33333333333333,93.33333333333333,30
16000,90.0,90.0,30
16100,90.0,90.0,30
16200,86.66666666666667,86.66666666666667,30
16300,86.66666666666667,86.66666666666667,30
16400,90.0,86.66666666666667,30
16500,90.0,86.66666666666667,30
16600,90.0,86.66666666666667,30
16700,93.33333333333333,93.33333333333333,30
16800,93.33333333333333,90.0,30
16900,93.33333333333333,90.0,30
17000,96.66666666666667,93.33333333333333,30
17100,96.66666666666667,93.33333333333333,30
17200,93.33333333333333,90.0,30
17300,96.66666666666667,90.0,30
17400,93.33333333333333,86.66666666666667,30
17500,90.0,83.33333333333334,30
17600,90.0,86.66666666666667,30
17700,93.33333333333333,90.0,30
17800,93.33333333333333,90.0,30
17900,96.66666666666667,96.66666666666667,30
18000,96.66666666666667,96.66666666666667,30
18100,96.66666666666667,96.66666666666667,30
18200,93.33333333333333,93.33333333333333,30
18300,90.0,90.0,30
18400,86.66666666666667,86.66666666666667,30
18500,90.0,90.0,30
18600,93.33333333333333,93.33333333333333,30
18700,96.66666666666667,96.66666666666667,30
18800,96.66666666666667,96.66666666666667,30
18900,96.66666666666667,93.33333333333333,30
19000,96.66666666666667,93.33333333333333,30
19100,93.33333333333333,86.66666666666667,30
19200,93.33333333333333,90.0,30
19300,93.33333333333333,90.0,30
19400,93.33333333333333,90.0,30
19500,93.33333333333333,90.0,30
19600,93.33333333333333,93.33333333333333,30
19700,93.33333333333333,93.33333333333333,30
19800,93.33333333333333,93.33333333333333,30
19900,96.66666666666667,96.66666666666667,30
20000,96.66666666666667,96.66666666666667,30
